period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
1985-1987,25,7.5e-4,7.5e-4,97768.7,73.3,48.57,NA,3.26e-4,3.26e-4,98567.1,32.1,53.91
1985-1987,26,7.92e-4,7.92e-4,97695.4,77.4,47.61,NA,3.6e-4,3.59e-4,98535,35.4,52.92
1985-1987,27,8.02e-4,8.02e-4,97618,78.2,46.64,NA,3.5e-4,3.5e-4,98499.5,34.5,51.94
1985-1987,28,8.27e-4,8.26e-4,97539.7,80.6,45.68,NA,3.99e-4,3.98e-4,98465.1,39.2,50.96
1985-1987,29,7.77e-4,7.77e-4,97459.1,75.7,44.72,NA,4.32e-4,4.32e-4,98425.8,42.5,49.98
1985-1987,30,8.91e-4,8.91e-4,97383.4,86.7,43.75,NA,5.05e-4,5.05e-4,98383.3,49.7,49
1985-1987,31,8.96e-4,8.96e-4,97296.7,87.2,42.79,NA,5.38e-4,5.38e-4,98333.7,52.9,48.03
1985-1987,32,9.79e-4,9.78e-4,97209.5,95.1,41.83,NA,5.66e-4,5.66e-4,98280.8,55.6,47.05
1985-1987,33,9.91e-4,9.91e-4,97114.4,96.2,40.87,NA,6.1e-4,6.1e-4,98225.1,59.9,46.08
1985-1987,34,0.00106,0.001059,97018.2,102.7,39.91,NA,6.62e-4,6.61e-4,98165.2,64.9,45.11
1985-1987,35,0.001106,0.001106,96915.5,107.1,38.95,NA,7.38e-4,7.38e-4,98100.3,72.4,44.14
1985-1987,36,0.001248,0.001247,96808.3,120.7,37.99,NA,7.82e-4,7.81e-4,98027.9,76.6,43.17
1985-1987,37,0.001305,0.001304,96687.6,126.1,37.04,NA,8.33e-4,8.33e-4,97951.3,81.6,42.2
1985-1987,38,0.00132,0.001319,96561.5,127.4,36.09,NA,9.15e-4,9.15e-4,97869.7,89.6,41.24
1985-1987,39,0.001509,0.001507,96434.1,145.4,35.13,NA,0.001064,0.001064,97780.2,104,40.27
1985-1987,40,0.001723,0.001722,96288.8,165.8,34.19,NA,0.001195,0.001195,97676.2,116.7,39.32
1985-1987,41,0.001908,0.001906,96123,183.2,33.24,NA,0.001257,0.001256,97559.5,122.6,38.36
1985-1987,42,0.002127,0.002125,95939.7,203.9,32.31,NA,0.001402,0.001401,97436.9,136.5,37.41
1985-1987,43,0.002349,0.002347,95735.9,224.7,31.38,NA,0.001576,0.001574,97300.5,153.2,36.46
1985-1987,44,0.002619,0.002616,95511.2,249.8,30.45,NA,0.001746,0.001744,97147.3,169.5,35.52
1985-1987,45,0.003053,0.003048,95261.4,290.3,29.53,NA,0.00203,0.002028,96977.8,196.7,34.58
1985-1987,46,0.003499,0.003492,94971,331.7,28.62,NA,0.002186,0.002184,96781.1,211.3,33.65
1985-1987,47,0.003707,0.0037,94639.4,350.1,27.71,NA,0.002454,0.002451,96569.8,236.7,32.72
1985-1987,48,0.004079,0.00407,94289.2,383.8,26.81,NA,0.002664,0.00266,96333.1,256.3,31.8
1985-1987,49,0.004621,0.00461,93905.4,432.9,25.92,NA,0.003024,0.00302,96076.8,290.1,30.88
1985-1987,50,0.005268,0.005255,93472.5,491.2,25.04,NA,0.003324,0.003318,95786.6,317.9,29.98
1985-1987,51,0.005961,0.005943,92981.4,552.6,24.17,NA,0.003573,0.003567,95468.8,340.5,29.07
1985-1987,52,0.006621,0.006599,92428.7,609.9,23.31,NA,0.004161,0.004152,95128.3,395,28.18
1985-1987,53,0.007415,0.007388,91818.8,678.3,22.46,NA,0.004499,0.004489,94733.3,425.3,27.29
1985-1987,54,0.008446,0.00841,91140.5,766.5,21.63,NA,0.004947,0.004935,94308,465.4,26.41
1985-1987,55,0.009281,0.009238,90374,834.9,20.81,NA,0.005545,0.00553,93842.6,519,25.54
1985-1987,56,0.010699,0.010642,89539.1,952.9,19.99,NA,0.006308,0.006288,93323.6,586.9,24.68
1985-1987,57,0.01199,0.011919,88586.2,1055.8,19.2,NA,0.006605,0.006583,92736.8,610.5,23.83
1985-1987,58,0.013538,0.013447,87530.4,1177,18.43,NA,0.007724,0.007694,92126.3,708.8,22.99
1985-1987,59,0.015279,0.015163,86353.3,1309.4,17.67,NA,0.008484,0.008448,91417.5,772.3,22.16
1985-1987,60,0.01696,0.016817,85044,1430.2,16.94,NA,0.009551,0.009506,90645.1,861.6,21.35
1985-1987,61,0.019175,0.018993,83613.8,1588.1,16.22,NA,0.010468,0.010414,89783.5,935,20.55
1985-1987,62,0.020875,0.020659,82025.7,1694.6,15.52,NA,0.011652,0.011584,88848.5,1029.2,19.76
1985-1987,63,0.022809,0.022552,80331.1,1811.6,14.84,NA,0.012617,0.012538,87819.3,1101.1,18.98
1985-1987,64,0.025463,0.025143,78519.5,1974.2,14.17,NA,0.013803,0.013708,86718.2,1188.8,18.22
1985-1987,65,0.027782,0.027401,76545.3,2097.4,13.52,NA,0.014883,0.014773,85529.4,1263.5,17.46
1985-1987,66,0.029989,0.029546,74447.8,2199.6,12.89,NA,0.016191,0.016061,84265.9,1353.4,16.72
1985-1987,67,0.033412,0.032863,72248.2,2374.3,12.27,NA,0.017826,0.017669,82912.5,1464.9,15.98
1985-1987,68,0.03778,0.03708,69873.9,2590.9,11.67,NA,0.019676,0.019485,81447.6,1587,15.26
1985-1987,69,0.041058,0.040232,67283,2706.9,11.1,NA,0.02187,0.021633,79860.6,1727.6,14.55
1985-1987,70,0.045014,0.044023,64576,2842.8,10.54,NA,0.023688,0.023411,78133,1829.2,13.87
1985-1987,71,0.049018,0.047845,61733.2,2953.6,10.01,NA,0.025936,0.025604,76303.8,1953.7,13.19
1985-1987,72,0.054295,0.05286,58779.6,3107.1,9.48,NA,0.029291,0.028868,74350.1,2146.4,12.52
1985-1987,73,0.059092,0.057396,55672.5,3195.4,8.98,NA,0.032091,0.031585,72203.7,2280.5,11.88
1985-1987,74,0.065046,0.062997,52477.1,3305.9,8.5,NA,0.035671,0.035046,69923.2,2450.5,11.25
1985-1987,75,0.071909,0.069413,49171.2,3413.1,8.04,NA,0.039727,0.038954,67472.7,2628.3,10.64
1985-1987,76,0.080224,0.07713,45758.1,3529.3,7.6,NA,0.043566,0.042637,64844.4,2764.8,10.05
1985-1987,77,0.08644,0.082859,42228.8,3499,7.2,NA,0.04795,0.046827,62079.6,2907,9.47
1985-1987,78,0.093073,0.088934,38729.7,3444.4,6.8,NA,0.053296,0.051912,59172.6,3071.8,8.92
1985-1987,79,0.103173,0.098112,35285.3,3461.9,6.42,NA,0.06022,0.05846,56100.8,3279.6,8.38
1985-1987,80,0.112406,0.106425,31823.4,3386.8,6.06,NA,0.067056,0.06488,52821.2,3427.1,7.86
1985-1987,81,0.12118,0.114257,28436.6,3249.1,5.72,NA,0.074615,0.071931,49394.1,3553,7.38
1985-1987,82,0.132072,0.123891,25187.5,3120.5,5.39,NA,0.083075,0.079762,45841.1,3656.4,6.91
1985-1987,83,0.145029,0.135223,22067,2984,5.09,NA,0.092664,0.088561,42184.8,3735.9,6.46
1985-1987,84,0.156519,0.145159,19083.1,2770.1,4.8,NA,0.104016,0.098874,38448.8,3801.6,6.04
1985-1987,85,0.17096,0.157497,16313,2569.2,4.53,NA,0.11484,0.108604,34647.3,3762.8,5.65
1985-1987,86,0.186276,0.170405,13743.7,2342,4.29,NA,0.12933,0.121475,30884.4,3751.7,5.28
1985-1987,87,0.194288,0.177085,11401.7,2019.1,4.07,NA,0.142343,0.132885,27132.7,3605.5,4.94
1985-1987,88,0.212947,0.192456,9382.7,1805.7,3.83,NA,0.155164,0.143993,23527.2,3387.7,4.62
1985-1987,89,0.227687,0.204415,7576.9,1548.8,3.63,NA,0.173274,0.159459,20139.5,3211.4,4.31
1985-1987,90,0.241095,0.215158,6028.1,1297,3.43,NA,0.191601,0.17485,16928,2959.9,4.04
1985-1987,91,0.260829,0.230737,4731.1,1091.6,3.24,NA,0.202537,0.183912,13968.2,2568.9,3.79
1985-1987,92,0.278795,0.244686,3639.4,890.5,3.06,NA,0.229025,0.205493,11399.3,2342.5,3.53
1985-1987,93,0.301777,0.262212,2748.9,720.8,2.88,NA,0.252708,0.22436,9056.8,2032,3.31
1985-1987,94,0.327461,0.281389,2028.1,570.7,2.73,NA,0.27048,0.238258,7024.8,1673.7,3.13
1985-1987,95,0.345626,0.294698,1457.4,429.5,2.6,NA,0.290281,0.253489,5351.1,1356.4,2.95
1985-1987,96,0.37463,0.315527,1027.9,324.3,2.48,NA,0.319673,0.275619,3994.6,1101,2.78
1985-1987,97,0.388796,0.325516,703.6,229,2.4,NA,0.332556,0.285143,2893.6,825.1,2.64
1985-1987,98,0.421268,0.347973,474.6,165.1,2.31,NA,0.349519,0.297524,2068.5,615.4,2.5
1985-1987,99,0.394737,0.32967,309.4,102,2.28,NA,0.372881,0.314286,1453.1,456.7,2.34
1985-1987,100,0.44592,0.364624,207.4,75.6,2.16,NA,0.423077,0.349206,996.4,348,2.19
1984-1986,0,0.010748,0.010691,100000,1069.1,71.94,NA,0.008267,0.008232,100000,823.2,77.73
1984-1986,1,7.56e-4,7.56e-4,98930.9,74.8,71.71,NA,7.05e-4,7.05e-4,99176.8,69.9,77.38
1984-1986,2,4.71e-4,4.71e-4,98856.2,46.6,70.77,NA,3.63e-4,3.63e-4,99106.8,36,76.43
1984-1986,3,3.98e-4,3.98e-4,98809.6,39.3,69.8,NA,2.69e-4,2.69e-4,99070.9,26.6,75.46
1984-1986,4,2.64e-4,2.64e-4,98770.3,26.1,68.83,NA,2.32e-4,2.32e-4,99044.2,23,74.48
1984-1986,5,2.51e-4,2.51e-4,98744.2,24.7,67.84,NA,1.91e-4,1.91e-4,99021.3,19,73.49
1984-1986,6,2.06e-4,2.06e-4,98719.5,20.3,66.86,NA,1.9e-4,1.9e-4,99002.3,18.8,72.51
1984-1986,7,2.39e-4,2.39e-4,98699.1,23.6,65.88,NA,1.67e-4,1.67e-4,98983.5,16.5,71.52
1984-1986,8,2.13e-4,2.13e-4,98675.6,21,64.89,NA,1.5e-4,1.5e-4,98967,14.8,70.53
1984-1986,9,1.88e-4,1.88e-4,98654.6,18.5,63.9,NA,1.88e-4,1.88e-4,98952.2,18.6,69.54
1984-1986,10,2.23e-4,2.23e-4,98636,22,62.92,NA,1.54e-4,1.54e-4,98933.7,15.3,68.56
1984-1986,11,2.5e-4,2.5e-4,98614.1,24.7,61.93,NA,1.64e-4,1.64e-4,98918.4,16.2,67.57
1984-1986,12,2.36e-4,2.36e-4,98589.4,23.2,60.95,NA,1.88e-4,1.88e-4,98902.2,18.6,66.58
1984-1986,13,2.7e-4,2.7e-4,98566.1,26.7,59.96,NA,1.92e-4,1.92e-4,98883.6,19,65.59
1984-1986,14,3.42e-4,3.42e-4,98539.5,33.7,58.98,NA,1.93e-4,1.93e-4,98864.6,19.1,64.6
1984-1986,15,4.17e-4,4.17e-4,98505.8,41,58,NA,2.43e-4,2.43e-4,98845.6,24,63.62
1984-1986,16,5.26e-4,5.26e-4,98464.7,51.8,57.02,NA,2.62e-4,2.62e-4,98821.6,25.9,62.63
1984-1986,17,7.93e-4,7.93e-4,98412.9,78,56.05,NA,3.28e-4,3.28e-4,98795.7,32.4,61.65
1984-1986,18,8.89e-4,8.89e-4,98334.9,87.4,55.09,NA,3.01e-4,3.01e-4,98763.3,29.7,60.67
1984-1986,19,8.85e-4,8.84e-4,98247.5,86.9,54.14,NA,3.08e-4,3.08e-4,98733.6,30.4,59.69
1984-1986,20,9.11e-4,9.1e-4,98160.6,89.4,53.19,NA,3.22e-4,3.22e-4,98703.2,31.7,58.7
1984-1986,21,8.71e-4,8.7e-4,98071.2,85.4,52.24,NA,3e-4,3e-4,98671.5,29.6,57.72
1984-1986,22,8.42e-4,8.42e-4,97985.9,82.5,51.28,NA,3.21e-4,3.21e-4,98641.9,31.7,56.74
1984-1986,23,7.98e-4,7.98e-4,97903.4,78.1,50.33,NA,3.33e-4,3.33e-4,98610.2,32.8,55.76
1984-1986,24,7.53e-4,7.53e-4,97825.3,73.6,49.37,NA,2.96e-4,2.96e-4,98577.4,29.2,54.78
1984-1986,25,7.42e-4,7.42e-4,97751.6,72.5,48.4,NA,3.37e-4,3.37e-4,98548.2,33.2,53.79
1984-1986,26,7.81e-4,7.81e-4,97679.1,76.3,47.44,NA,3.76e-4,3.76e-4,98515.1,37,52.81
1984-1986,27,8.07e-4,8.07e-4,97602.8,78.8,46.47,NA,3.71e-4,3.71e-4,98478.1,36.5,51.83
1984-1986,28,8.83e-4,8.82e-4,97524.1,86.1,45.51,NA,4.13e-4,4.13e-4,98441.6,40.7,50.85
1984-1986,29,8.09e-4,8.09e-4,97438,78.8,44.55,NA,4.44e-4,4.44e-4,98400.9,43.7,49.87
1984-1986,30,8.35e-4,8.35e-4,97359.2,81.3,43.59,NA,4.96e-4,4.96e-4,98357.2,48.8,48.89
1984-1986,31,8.5e-4,8.49e-4,97277.9,82.6,42.62,NA,5.2e-4,5.2e-4,98308.5,51.1,47.92
1984-1986,32,9.79e-4,9.78e-4,97195.3,95.1,41.66,NA,5.44e-4,5.43e-4,98257.3,53.4,46.94
1984-1986,33,9.8e-4,9.8e-4,97100.2,95.2,40.7,NA,6.13e-4,6.13e-4,98203.9,60.2,45.97
1984-1986,34,0.001045,0.001044,97005,101.3,39.74,NA,6.69e-4,6.68e-4,98143.8,65.6,44.99
1984-1986,35,0.001106,0.001105,96903.7,107.1,38.78,NA,7.38e-4,7.37e-4,98078.2,72.3,44.02
1984-1986,36,0.001199,0.001199,96796.6,116,37.82,NA,7.45e-4,7.45e-4,98005.8,73,43.06
1984-1986,37,0.001313,0.001312,96680.6,126.9,36.87,NA,7.96e-4,7.95e-4,97932.8,77.9,42.09
1984-1986,38,0.001333,0.001332,96553.7,128.6,35.91,NA,9.6e-4,9.59e-4,97854.9,93.9,41.12
1984-1986,39,0.001527,0.001526,96425.1,147.1,34.96,NA,0.001099,0.001098,97761,107.3,40.16
1984-1986,40,0.001801,0.0018,96278,173.3,34.01,NA,0.001202,0.001201,97653.7,117.3,39.2
1984-1986,41,0.001879,0.001877,96104.7,180.4,33.08,NA,0.001245,0.001244,97536.4,121.4,38.25
1984-1986,42,0.002098,0.002096,95924.3,201.1,32.14,NA,0.001429,0.001428,97415,139.1,37.3
1984-1986,43,0.002406,0.002403,95723.2,230.1,31.2,NA,0.001609,0.001608,97275.9,156.4,36.35
1984-1986,44,0.00267,0.002667,95493.1,254.7,30.28,NA,0.001775,0.001774,97119.4,172.3,35.41
1984-1986,45,0.003179,0.003174,95238.5,302.3,29.36,NA,0.002043,0.00204,96947.2,197.8,34.47
1984-1986,46,0.003495,0.003489,94936.2,331.2,28.45,NA,0.002178,0.002175,96749.4,210.5,33.54
1984-1986,47,0.003719,0.003712,94605,351.2,27.55,NA,0.002468,0.002465,96538.9,238,32.61
1984-1986,48,0.004327,0.004318,94253.8,407,26.65,NA,0.002688,0.002684,96300.9,258.5,31.69
1984-1986,49,0.004812,0.004801,93846.8,450.5,25.76,NA,0.003128,0.003123,96042.4,300,30.77
1984-1986,50,0.00541,0.005395,93396.3,503.9,24.88,NA,0.003341,0.003335,95742.4,319.3,29.87
1984-1986,51,0.006092,0.006074,92892.4,564.2,24.01,NA,0.003734,0.003727,95423.1,355.6,28.97
1984-1986,52,0.006762,0.006739,92328.2,622.2,23.16,NA,0.004169,0.00416,95067.5,395.5,28.07
1984-1986,53,0.007729,0.007699,91706,706.1,22.31,NA,0.004559,0.004549,94672,430.6,27.19
1984-1986,54,0.008672,0.008634,90999.9,785.7,21.48,NA,0.005073,0.00506,94241.3,476.8,26.31
1984-1986,55,0.009529,0.009484,90214.2,855.6,20.66,NA,0.005721,0.005705,93764.5,534.9,25.44
1984-1986,56,0.010954,0.010894,89358.6,973.5,19.86,NA,0.006426,0.006406,93229.6,597.2,24.59
1984-1986,57,0.012084,0.012012,88385.1,1061.7,19.07,NA,0.006923,0.0069,92632.4,639.1,23.74
1984-1986,58,0.013788,0.013694,87323.4,1195.8,18.3,NA,0.007868,0.007837,91993.3,720.9,22.9
1984-1986,59,0.015716,0.015593,86127.6,1343,17.54,NA,0.008646,0.008609,91272.3,785.7,22.08
1984-1986,60,0.017456,0.017304,84784.6,1467.2,16.81,NA,0.009616,0.00957,90486.6,865.9,21.27
1984-1986,61,0.019596,0.019406,83317.4,1616.9,16.1,NA,0.010445,0.01039,89620.7,931.2,20.47
1984-1986,62,0.021281,0.021057,81700.6,1720.3,15.41,NA,0.011692,0.011624,88689.5,1030.9,19.68
1984-1986,63,0.023538,0.023264,79980.2,1860.7,14.73,NA,0.012633,0.012553,87658.6,1100.4,18.9
1984-1986,64,0.025433,0.025114,78119.6,1961.9,14.07,NA,0.013588,0.013496,86558.2,1168.2,18.14
1984-1986,65,0.028236,0.027843,76157.7,2120.5,13.42,NA,0.014967,0.014856,85389.9,1268.5,17.38
1984-1986,66,0.030731,0.030266,74037.2,2240.8,12.79,NA,0.016449,0.016315,84121.4,1372.4,16.63
1984-1986,67,0.034476,0.033892,71796.3,2433.3,12.17,NA,0.018243,0.018078,82749,1495.9,15.9
1984-1986,68,0.038222,0.037505,69363,2601.5,11.58,NA,0.019687,0.019495,81253,1584,15.18
1984-1986,69,0.040906,0.040086,66761.5,2676.2,11.01,NA,0.021905,0.021668,79669,1726.3,14.47
1984-1986,70,0.045538,0.044524,64085.3,2853.3,10.45,NA,0.024028,0.023743,77942.8,1850.6,13.78
1984-1986,71,0.049278,0.048093,61232,2944.8,9.92,NA,0.026058,0.025723,76092.1,1957.3,13.11
1984-1986,72,0.055092,0.053615,58287.2,3125.1,9.39,NA,0.029459,0.029032,74134.8,2152.2,12.44
1984-1986,73,0.060074,0.058322,55162.1,3217.2,8.89,NA,0.03238,0.031864,71982.6,2293.6,11.8
1984-1986,74,0.066507,0.064366,51944.9,3343.5,8.41,NA,0.036009,0.035372,69688.9,2465,11.17
1984-1986,75,0.07281,0.070253,48601.4,3414.4,7.96,NA,0.040129,0.03934,67223.9,2644.6,10.56
1984-1986,76,0.080698,0.077568,45187,3505.1,7.52,NA,0.04401,0.043062,64579.3,2780.9,9.97
1984-1986,77,0.087647,0.083968,41682,3499.9,7.11,NA,0.048687,0.04753,61798.4,2937.3,9.4
1984-1986,78,0.094993,0.090686,38182,3462.6,6.72,NA,0.054028,0.052607,58861.2,3096.5,8.84
1984-1986,79,0.104361,0.099186,34719.4,3443.7,6.34,NA,0.060652,0.058867,55764.7,3282.7,8.31
1984-1986,80,0.114363,0.108177,31275.8,3383.3,5.98,NA,0.06785,0.065624,52482,3444.1,7.79
1984-1986,81,0.122354,0.1153,27892.5,3216,5.65,NA,0.075289,0.072558,49037.9,3558.1,7.31
1984-1986,82,0.135171,0.126614,24676.5,3124.4,5.32,NA,0.083928,0.080548,45479.8,3663.3,6.84
1984-1986,83,0.146605,0.136592,21552.1,2943.8,5.02,NA,0.093989,0.08977,41816.5,3753.9,6.39
1984-1986,84,0.159259,0.147513,18608.2,2745,4.73,NA,0.105308,0.100041,38062.6,3807.8,5.98
1984-1986,85,0.17416,0.160209,15863.3,2541.4,4.46,NA,0.116929,0.110471,34254.8,3784.1,5.58
1984-1986,86,0.189462,0.173067,13321.8,2305.6,4.22,NA,0.130964,0.122915,30470.7,3745.3,5.22
1984-1986,87,0.197656,0.179879,11016.3,1981.6,4,NA,0.144932,0.135139,26725.4,3611.6,4.88
1984-1986,88,0.215641,0.194653,9034.7,1758.6,3.77,NA,0.15912,0.147394,23113.7,3406.8,4.56
1984-1986,89,0.22864,0.205183,7276,1492.9,3.56,NA,0.173788,0.159894,19706.9,3151,4.26
1984-1986,90,0.247746,0.220439,5783.1,1274.8,3.35,NA,0.196127,0.178612,16555.9,2957.1,3.98
1984-1986,91,0.268812,0.236963,4508.3,1068.3,3.15,NA,0.208781,0.189047,13598.8,2570.8,3.73
1984-1986,92,0.290086,0.253341,3440,871.5,2.97,NA,0.230725,0.206861,11028,2281.3,3.49
1984-1986,93,0.308959,0.267617,2568.5,687.4,2.81,NA,0.258344,0.22879,8746.7,2001.2,3.27
1984-1986,94,0.33678,0.288243,1881.1,542.2,2.66,NA,0.271691,0.239197,6745.6,1613.5,3.09
1984-1986,95,0.352842,0.299929,1338.9,401.6,2.53,NA,0.298045,0.25939,5132.1,1331.2,2.9
1984-1986,96,0.374259,0.315264,937.3,295.5,2.4,NA,0.32482,0.279437,3800.8,1062.1,2.74
1984-1986,97,0.405901,0.337421,641.8,216.6,2.28,NA,0.334813,0.286801,2738.8,785.5,2.61
1984-1986,98,0.426266,0.351376,425.3,149.4,2.18,NA,0.356804,0.302786,1953.3,591.4,2.46
1984-1986,99,0.456731,0.37182,275.8,102.6,2.09,NA,0.388746,0.325481,1361.9,443.3,2.31
1984-1986,100,0.476471,0.384798,173.3,66.7,2.03,NA,0.421099,0.347858,918.6,319.5,2.19
1983-1985,0,0.010838,0.010779,100000,1077.9,71.75,NA,0.008547,0.008511,100000,851.1,77.58
1983-1985,1,7.75e-4,7.74e-4,98922.1,76.6,71.53,NA,7.01e-4,7.01e-4,99148.9,69.5,77.25
1983-1985,2,4.8e-4,4.8e-4,98845.5,47.5,70.59,NA,3.78e-4,3.78e-4,99079.4,37.5,76.3
1983-1985,3,3.93e-4,3.92e-4,98798,38.8,69.62,NA,2.7e-4,2.7e-4,99042,26.7,75.33
1983-1985,4,2.85e-4,2.84e-4,98759.2,28.1,68.65,NA,2.29e-4,2.29e-4,99015.3,22.7,74.35
1983-1985,5,2.6e-4,2.6e-4,98731.1,25.7,67.67,NA,2.05e-4,2.05e-4,98992.6,20.3,73.37
1983-1985,6,2.29e-4,2.29e-4,98705.5,22.6,66.68,NA,2.01e-4,2.01e-4,98972.3,19.8,72.38
1983-1985,7,2.48e-4,2.48e-4,98682.8,24.4,65.7,NA,1.7e-4,1.69e-4,98952.4,16.8,71.4
1983-1985,8,2.28e-4,2.28e-4,98658.4,22.5,64.71,NA,1.62e-4,1.62e-4,98935.7,16,70.41
1983-1985,9,2.18e-4,2.18e-4,98635.9,21.5,63.73,NA,1.84e-4,1.84e-4,98919.6,18.2,69.42
1983-1985,10,2.29e-4,2.28e-4,98614.5,22.5,62.74,NA,1.6e-4,1.6e-4,98901.4,15.8,68.43
1983-1985,11,2.64e-4,2.64e-4,98591.9,26,61.76,NA,1.67e-4,1.67e-4,98885.6,16.5,67.44
1983-1985,12,2.62e-4,2.62e-4,98565.9,25.9,60.77,NA,1.93e-4,1.93e-4,98869.1,19.1,66.45
1983-1985,13,2.76e-4,2.75e-4,98540,27.1,59.79,NA,1.93e-4,1.93e-4,98850,19.1,65.47
1983-1985,14,3.59e-4,3.59e-4,98512.9,35.3,58.81,NA,1.97e-4,1.97e-4,98830.9,19.5,64.48
1983-1985,15,4.17e-4,4.17e-4,98477.6,41.1,57.83,NA,2.41e-4,2.4e-4,98811.4,23.8,63.49
1983-1985,16,5.5e-4,5.5e-4,98436.5,54.1,56.85,NA,2.67e-4,2.67e-4,98787.7,26.4,62.51
1983-1985,17,8.06e-4,8.05e-4,98382.4,79.2,55.88,NA,3.56e-4,3.56e-4,98761.3,35.1,61.52
1983-1985,18,8.74e-4,8.74e-4,98303.1,85.9,54.93,NA,2.95e-4,2.95e-4,98726.2,29.2,60.54
1983-1985,19,9.1e-4,9.09e-4,98217.3,89.3,53.97,NA,3.14e-4,3.14e-4,98697,30.9,59.56
1983-1985,20,9.55e-4,9.55e-4,98128,93.7,53.02,NA,3.2e-4,3.2e-4,98666.1,31.5,58.58
1983-1985,21,8.73e-4,8.72e-4,98034.3,85.5,52.07,NA,3.14e-4,3.14e-4,98634.5,31,57.6
1983-1985,22,8.41e-4,8.41e-4,97948.8,82.3,51.12,NA,2.94e-4,2.94e-4,98603.5,29,56.62
1983-1985,23,7.53e-4,7.53e-4,97866.4,73.7,50.16,NA,3.05e-4,3.05e-4,98574.5,30.1,55.63
1983-1985,24,7.39e-4,7.39e-4,97792.8,72.3,49.2,NA,3.07e-4,3.07e-4,98544.5,30.2,54.65
1983-1985,25,7.62e-4,7.62e-4,97720.5,74.5,48.23,NA,3.6e-4,3.6e-4,98514.2,35.5,53.67
1983-1985,26,7.9e-4,7.89e-4,97646,77.1,47.27,NA,3.91e-4,3.91e-4,98478.8,38.5,52.69
1983-1985,27,8.13e-4,8.13e-4,97568.9,79.3,46.31,NA,3.82e-4,3.82e-4,98440.2,37.6,51.71
1983-1985,28,8.87e-4,8.86e-4,97489.6,86.4,45.34,NA,4.3e-4,4.29e-4,98402.6,42.3,50.73
1983-1985,29,8.08e-4,8.07e-4,97403.2,78.6,44.38,NA,4.42e-4,4.42e-4,98360.3,43.4,49.75
1983-1985,30,8.32e-4,8.32e-4,97324.6,81,43.42,NA,4.75e-4,4.75e-4,98316.9,46.7,48.77
1983-1985,31,8.67e-4,8.67e-4,97243.6,84.3,42.46,NA,5.24e-4,5.24e-4,98270.2,51.5,47.79
1983-1985,32,9.78e-4,9.77e-4,97159.3,94.9,41.49,NA,5.5e-4,5.5e-4,98218.8,54,46.82
1983-1985,33,9.98e-4,9.97e-4,97064.4,96.8,40.53,NA,6.17e-4,6.17e-4,98164.8,60.6,45.84
1983-1985,34,0.001023,0.001023,96967.6,99.2,39.57,NA,6.52e-4,6.52e-4,98104.2,64,44.87
1983-1985,35,0.001151,0.001151,96868.4,111.5,38.61,NA,7.54e-4,7.54e-4,98040.2,73.9,43.9
1983-1985,36,0.001174,0.001173,96757,113.5,37.66,NA,7.66e-4,7.66e-4,97966.3,75.1,42.93
1983-1985,37,0.001273,0.001272,96643.5,122.9,36.7,NA,8.1e-4,8.1e-4,97891.3,79.3,41.97
1983-1985,38,0.001321,0.00132,96520.6,127.4,35.75,NA,9.96e-4,9.96e-4,97812,97.4,41
1983-1985,39,0.001613,0.001611,96393.2,155.3,34.79,NA,0.001123,0.001122,97714.6,109.7,40.04
1983-1985,40,0.001775,0.001773,96237.8,170.6,33.85,NA,0.001158,0.001157,97604.9,112.9,39.08
1983-1985,41,0.001935,0.001933,96067.2,185.7,32.91,NA,0.001261,0.001261,97491.9,122.9,38.13
1983-1985,42,0.00218,0.002178,95881.5,208.8,31.97,NA,0.001452,0.001451,97369,141.3,37.18
1983-1985,43,0.002462,0.002459,95672.7,235.3,31.04,NA,0.001639,0.001638,97227.8,159.2,36.23
1983-1985,44,0.002714,0.00271,95437.5,258.7,30.11,NA,0.001823,0.001821,97068.5,176.8,35.29
1983-1985,45,0.003194,0.003189,95178.8,303.5,29.19,NA,0.002061,0.002059,96891.7,199.5,34.35
1983-1985,46,0.003547,0.00354,94875.3,335.9,28.29,NA,0.002167,0.002164,96692.2,209.3,33.42
1983-1985,47,0.003824,0.003817,94539.4,360.9,27.38,NA,0.002543,0.00254,96483,245.1,32.49
1983-1985,48,0.0045,0.00449,94178.5,422.9,26.49,NA,0.002809,0.002805,96237.9,270,31.57
1983-1985,49,0.004991,0.004979,93755.7,466.8,25.6,NA,0.003197,0.003192,95967.9,306.3,30.66
1983-1985,50,0.005531,0.005516,93288.8,514.6,24.73,NA,0.0034390000000000002,0.003433,95661.6,328.4,29.76
1983-1985,51,0.006127,0.006108,92774.3,566.7,23.86,NA,0.003801,0.003793,95333.2,361.6,28.86
1983-1985,52,0.006923,0.006899,92207.6,636.1,23.01,NA,0.004335,0.004326,94971.6,410.8,27.97
1983-1985,53,0.007876,0.007845,91571.5,718.4,22.16,NA,0.004751,0.00474,94560.8,448.2,27.09
1983-1985,54,0.008985,0.008945,90853.1,812.7,21.34,NA,0.005301,0.005287,94112.6,497.5,26.21
1983-1985,55,0.009895,0.009846,90040.4,886.5,20.52,NA,0.005922,0.005905,93615,552.8,25.35
1983-1985,56,0.011307,0.011243,89153.8,1002.4,19.72,NA,0.006521,0.0065,93062.3,604.9,24.5
